Time	Conc
1800	0
2193	0
2193.042	0.000155
2193.083	0.000308
2193.125	0.000461
2193.167	0.000612
2193.208	0.000763
2193.25	0.000913
2193.292	0.00106
2193.333	0.00121
2193.375	0.00136
2193.417	0.0015
2193.458	0.00165
2193.5	0.00179
2193.542	0.00194
2193.583	0.00208
2193.625	0.00222
2193.667	0.00236
2193.708	0.00251
2193.75	0.00265
2193.792	0.00278
2193.833	0.00292
2193.875	0.00306
2193.917	0.0032
2193.958	0.00333
2194	0.00347
2194.042	0.0036
2194.083	0.00374
2194.125	0.00387
2194.167	0.004
2194.208	0.00414
2194.25	0.00427
2194.292	0.0044
2194.333	0.00453
2194.375	0.00466
2194.417	0.00479
2194.458	0.00491
2194.5	0.00504
2194.542	0.00517
2194.583	0.00529
2194.625	0.00542
2194.667	0.00554
2194.708	0.00567
2194.75	0.00579
2194.792	0.00591
2194.833	0.00603
2194.875	0.00616
2194.917	0.00628
2194.958	0.0064
2195	0.00652
2195.042	0.00663
2195.083	0.00675
2195.125	0.00687
2195.167	0.00699
2195.208	0.0071
2195.25	0.00722
2195.292	0.00733
2195.333	0.00745
2195.375	0.00756
2195.417	0.00767
2195.458	0.00779
2195.5	0.0079
2195.542	0.00801
2195.583	0.00812
2195.625	0.00823
2195.667	0.00834
2195.708	0.00845
2195.75	0.00855
2195.792	0.00866
2195.833	0.00877
2195.875	0.00887
2195.917	0.00898
2195.958	0.00908
2196	0.00919
2196.042	0.00929
2196.083	0.00939
2196.125	0.0095
2196.167	0.0096
2196.208	0.0097
2196.25	0.0098
2196.292	0.0099
2196.333	0.01
2196.375	0.0101
2196.417	0.0102
2196.458	0.0103
2196.5	0.0104
2196.542	0.0105
2196.583	0.0106
2196.625	0.0107
2196.667	0.0108
2196.708	0.0109
2196.75	0.011
2196.792	0.011
2196.833	0.0111
2196.875	0.0112
2196.917	0.0113
2196.958	0.0114
2197	0.0115
2197.042	0.0116
2197.083	0.0117
2197.125	0.0118
2197.167	0.0119
2197.208	0.0119
2197.25	0.012
2197.292	0.0121
2197.333	0.0122
2197.375	0.0123
2197.417	0.0124
2197.458	0.0124
2197.5	0.0125
2197.542	0.0126
2197.583	0.0127
2197.625	0.0128
2197.667	0.0128
2197.708	0.0129
2197.75	0.013
2197.792	0.0131
2197.833	0.0132
2197.875	0.0132
2197.917	0.0133
2197.958	0.0134
2198	0.0135
2198.042	0.0135
2198.083	0.0136
2198.125	0.0137
2198.167	0.0138
2198.208	0.0138
2198.25	0.0139
2198.292	0.014
2198.333	0.014
2198.375	0.0141
2198.417	0.0142
2198.458	0.0142
2198.5	0.0143
