ID	t	conc	obs
T0	0	0	12
T0	3	0	38
T0	5	0	92
T0	7	0	176
T0	7.01	0	176
T0	10	0	627
T0	12	0	1283
T0	14	0	2640
T0.32	0	0.32	12
T0.32	3	0.32	39
T0.32	5	0.32	92
T0.32	7	0.32	173
T0.32	7.01	0	173
T0.32	10	0	556
T0.32	12	0	1233
T0.32	14	0	2518
T0.56	0	0.56	12
T0.56	3	0.56	38
T0.56	5	0.56	54
T0.56	7	0.56	68
T0.56	7.01	0	68
T0.56	10	0	177
T0.56	12	0	475
T0.56	14	0	1090
T1	0	1	12
T1	3	1	25
T1	5	1	30
T1	7	1	33
T1	7.01	0	33
T1	10	0	64
T1	12	0	127
T1	14	0	300
T1.8	0	1.8	12
T1.8	3	1.8	19
T1.8	5	1.8	24
T1.8	7	1.8	23
T1.8	7.01	0	23
T1.8	10	0	33
T1.8	12	0	62
T1.8	14	0	161
T3.2	0	3.2	12
T3.2	3	3.2	20
T3.2	5	3.2	21
T3.2	7	3.2	23
T3.2	7.01	0	23
T3.2	10	0	27
T3.2	12	0	60
T3.2	14	0	123
T5.6	0	5.6	12
T5.6	3	5.6	18
T5.6	5	5.6	21
T5.6	7	5.6	23
T5.6	7.01	0	23
T5.6	10	0	28
T5.6	12	0	42
T5.6	14	0	84
