t	exposure
8.311	0
7.404	0
7.836	0
8.834	0
9.339	0
9.667	0
10.123	0
10.683	0
11.164	0
11.547	0
12.049	0
12.587	0
13.007	61.488
13.518	50.518
13.925	42.218
14.358	33.565
14.884	24.93
14.905	56.502
14.942	93.4
15.088	134.287
15.708	99.383
16.181	75.371
16.984	51.129
17.508	39.289
18.19	27.582
18.989	17.404
20.041	11.672
20.545	9.631
21.183	6.639
21.694	4.894
22.138	4.811
22.735	2.318
23.1	6.639
23.142	39.283
23.173	88.413
23.556	131.046
24.134	129.301
24.508	129.301
24.947	130.048
25.463	129.301
25.969	129.176
26.437	127.929
26.783	128.303
27.106	128.927
27.814	127.971
28.103	128.731
28.841	126.508
29.228	126.309
29.554	127.306
30.017	127.306
30.546	127.306
31.039	128.746
31.44	111.599
31.924	88.164
32.267	73.122
32.736	54.507
33.127	46.321
33.594	36.806
34.091	28.773
34.628	21.598
35.025	16.534
35.601	14.368
36.112	10.628
36.495	9.631
37.134	6.39
37.645	5.642
38.193	5.044
38.685	2.318
39.196	2.152
39.708	2.152
40.091	2.451
40.536	1.653
40.939	1.653
41.383	1.653
41.784	2.451
42.208	1.653
42.445	1.653
