replicate	conc	time	Nsurv
Control	0	0	20
T1	8.05	0	20
T2	11.906	0	20
T3	13.8	0	20
T4	17.872	0	21
T5	24.186	0	20
T6	28.93	0	20
T7	35.924	0	20
Control	0	1	19
T1	8.05	1	20
T2	11.906	1	19
T3	13.8	1	19
T4	17.872	1	21
T5	24.186	1	17
T6	28.93	1	11
T7	35.924	1	11
Control	0	2	19
T1	8.05	2	20
T2	11.906	2	19
T3	13.8	2	19
T4	17.872	2	20
T5	24.186	2	6
T6	28.93	2	4
T7	35.924	2	1
Control	0	3	19
T1	8.05	3	20
T2	11.906	3	19
T3	13.8	3	18
T4	17.872	3	16
T5	24.186	3	2
T6	28.93	3	0
T7	35.924	3	0
Control	0	4	19
T1	8.05	4	19
T2	11.906	4	17
T3	13.8	4	16
T4	17.872	4	16
T5	24.186	4	1
T6	28.93	4	0
T7	35.924	4	0
