replicate	conc	time	Nsurv
Control	0	0	60
close_pulses	30.56	0	70
constant	4.93	0	70
wide_pulses	28.98	0	70
Control	0	0.96	NA
close_pulses	27.93	0.96	NA
constant	4.69	0.96	NA
wide_pulses	27.66	0.96	NA
Control	0	1	59
close_pulses	0	1	50
constant	4.69	1	70
wide_pulses	0	1	57
Control	0	1.96	NA
close_pulses	0.26	1.96	NA
constant	4.58	1.96	NA
wide_pulses	0.27	1.96	NA
Control	NA	2	58
close_pulses	NA	2	49
constant	NA	2	69
wide_pulses	NA	2	53
Control	0	2.96	NA
close_pulses	0.21	2.96	NA
constant	4.58	2.96	NA
wide_pulses	0.26	2.96	NA
Control	0	3	58
close_pulses	27.69	3	49
constant	4.58	3	69
wide_pulses	0.26	3	52
Control	0	3.96	NA
close_pulses	26.49	3.96	NA
constant	4.54	3.96	NA
wide_pulses	0.26	3.96	NA
Control	0	4	57
close_pulses	0	4	45
constant	4.54	4	68
wide_pulses	0.26	4	50
Control	0	4.96	NA
close_pulses	0.18	4.96	NA
constant	4.58	4.96	NA
wide_pulses	0.25	4.96	NA
Control	0	4.97	NA
close_pulses	0.18	4.97	NA
constant	4.71	4.97	NA
wide_pulses	0.25	4.97	NA
Control	NA	5	57
close_pulses	NA	5	45
constant	NA	5	66
wide_pulses	NA	5	46
Control	0	5.96	NA
close_pulses	0.18	5.96	NA
constant	4.71	5.96	NA
wide_pulses	0.03	5.96	NA
Control	NA	6	56
close_pulses	NA	6	45
constant	NA	6	65
wide_pulses	NA	6	45
Control	0	6.96	NA
close_pulses	0.14	6.96	NA
constant	4.6	6.96	NA
wide_pulses	0	6.96	NA
Control	0	7	56
close_pulses	0.14	7	42
constant	4.6	7	64
wide_pulses	26.98	7	44
Control	0	7.96	NA
close_pulses	0	7.96	NA
constant	4.59	7.96	NA
wide_pulses	26.28	7.96	NA
Control	0	8	56
close_pulses	0.18	8	38
constant	4.59	8	60
wide_pulses	0	8	40
Control	0	9	55
close_pulses	0	9	37
constant	4.46	9	55
wide_pulses	0.12	9	38
Control	0	9.96	NA
close_pulses	0	9.96	NA
constant	4.51	9.96	NA
wide_pulses	0.12	9.96	NA
Control	0	10	54
close_pulses	0	10	36
constant	4.51	10	54
wide_pulses	0.12	10	37
